Count;RefDes;PatternName;Value
;;;
4;C10;C_SMD_2220_M;0.47uF
;C11;C_SMD_2220_M;0.47uF
;C12;C_SMD_2220_M;0.47uF
;C13;C_SMD_2220_M;0.47uF
2;R18;smd_1206;10MR
;C23;C1210;10MR
16;VD20;SMA;byg23m
;VD21;SUF4007+HER108;byg23m
;VD24;SUF4007+HER108;byg23m
;VD25;SUF4007+HER108;byg23m
;VD28;SUF4007+HER108;byg23m
;VD30;SUF4007+HER108;byg23m
;VD31;SUF4007+HER108;byg23m
;VD32;SUF4007+HER108;byg23m
8;C14;C1210;nm
;C15;C1210;nm
;C16;C1210;nm
;C19;C1210;nm
;C20;C1210;nm
;C21;C1210;nm
;C22;C1210;nm
;C24;C1210;nm
2;C17;C_SMD_2220_M;nm
;C25;C_SMD_2220_M;nm
8;VD22;SUF4007+HER108;nm
;VD23;SUF4007+HER108;nm
;VD26;SUF4007+HER108;nm
;VD27;SUF4007+HER108;nm
;VD33;SUF4007+HER108;nm
;VD34;SUF4007+HER108;nm
;VD35;SUF4007+HER108;nm
;VD36;SUF4007+HER108;nm
2;VD19;SMB;p6smb440A
;VD29;SMB;p6smb440A
4;XS4;PL_KONT;
;XS5;PL_KONT;
;XS6;PL_KONT;
;XS7;PL_KONT;
1;BRD;pcb;U101TRANS6K-v1.1
